Funds,Category,Commission (Approx.)%,Minimum Investment,Base Expense Ratio (%),Exit Load (Period)
360 ONE Balanced Hybrid Fund - Regular Plan,Hybrid,0.89,"1,000",1.78,1.00 (360)
360 ONE Dynamic Term Fund - Regular Plan,Debt,0.25,"10,000",0.5,--
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan,Equity,0.286,500,0.52,--
360 ONE Flexicap Fund - Regular Plan,Equity,0.957,"1,000",1.74,1.00 (365)
360 ONE Focused Fund - Regular Plan,Equity,0.847,"1,000",1.54,--
360 ONE Gold ETF,Commodities,0.2,500,0.4,--
360 ONE Liquid Fund - Regular Plan,Debt,0.15,"5,000",0.3,0.01 (1)
360 ONE MSCI India ETF,Equity,0.2145,"5,000",0.39,--
360 ONE Multi Asset Allocation Fund - Regular Plan,Hybrid,0.865,"1,000",1.73,1.00 (360)
360 ONE Overnight Fund - Regular Plan,Debt,0.075,"5,000",0.15,--
360 ONE Quant Fund - Regular Plan,Equity,0.9845,"1,000",1.79,1.00 (365)
360 ONE Silver ETF,Commodities,0.195,"1,000",0.39,--
Abakkus Flexi Cap Fund - Regular Plan,Equity,0.858,500,1.56,1.00 (90)
Abakkus Large & Mid Cap Fund - Regular Plan,Equity,,500,--,1.00 (180)
Abakkus Liquid Fund - Regular Plan,Debt,0.13,"1,000",0.26,0.01 (1)
Abakkus Small Cap Fund - Regular Plan,Equity,0.957,500,1.74,1.00 (90)
Aditya Birla Sun Life Aggressive Hybrid Omni FoF - Regular Plan,Hybrid,0.475,100,0.95,1.00 (365)
Aditya Birla Sun Life Arbitrage Fund - Regular Plan,Hybrid,0.44,"1,000",0.88,--
Aditya Birla Sun Life Bal Bhavishya Yojna - Regular Plan,Equity,1.023,"1,000",1.86,--
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan,Hybrid,0.75,100,1.5,0.25 (7)
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,Equity,0.902,"1,000",1.64,1.00 (30)
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan,Debt,0.31,"1,000",0.62,--
Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund - Regular Plan,Equity,0.495,500,0.9,0.10 (15)
Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Regular Plan,Equity,0.462,500,0.84,0.10 (15)
Aditya Birla Sun Life BSE India Infrastructure Index Fund - Regular Plan,Equity,0.484,500,0.88,0.05 (30)
Aditya Birla Sun Life BSE Sensex ETF,Equity,0.022,"1,000",0.04,--
Aditya Birla Sun Life BSE Top 10 Banks ETF,Equity,0.066,500,0.12,--
Aditya Birla Sun Life Business Cycle Fund - Regular Plan,Equity,0.979,500,1.78,1.00 (30)
Aditya Birla Sun Life Conglomerate Fund - Regular Plan,Equity,0.9845,100,1.79,0.50 (90)
Aditya Birla Sun Life Conservative Hybrid Active FoF - Regular Plan,Hybrid,0.38,100,0.76,1.00 (365)
Aditya Birla Sun Life Consumption Fund - Regular Plan,Equity,0.858,"1,000",1.56,1.00 (30)
Aditya Birla Sun Life Corporate Bond Fund - Regular Plan,Debt,0.22,100,0.44,--
Aditya Birla Sun Life Credit Risk Fund - Regular Plan,Debt,0.68,100,1.36,1.00 (365)
Aditya Birla Sun Life Credit Risk Fund - Segregated Portfolio 1 - Regular Plan,Debt,0.755,100,1.51,--
Aditya Birla Sun Life CRISIL 10 Year Gilt ETF,Debt,0.035,"1,000",0.07,--
Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,Debt,0.035,"1,000",0.07,--
Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Regular Plan,Debt,0.15,500,0.3,--
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund - Regular Plan,Debt,0.14,500,0.28,--
Aditya Birla Sun Life CRISIL IBX Gilt -Apr 2029 Index Fund - Regular Plan,Debt,0.16,500,0.32,--
Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund - Regular Plan,Debt,0.345,500,0.69,--
